1,5,4,10,1,3,2,10,1
2,3,10,7,5,2,4,0,1
3,1,2,7,9,9,7,4,2
4,6,2,4,9,7,8,1,2
5,0,1,7,5,5,8,2,1
6,9,4,8,5,8,2,9,1
7,2,0,5,5,3,0,0,1
8,7,5,9,10,2,9,7,1
9,10,3,7,3,1,6,6,1
10,3,6,8,8,10,10,5,1
11,0,6,10,10,9,2,6,2
12,8,5,7,6,3,7,0,1
13,6,1,3,5,3,8,6,1
14,5,10,8,3,9,6,7,1
15,0,8,4,3,8,10,5,2
16,1,8,10,5,6,7,5,1
17,1,8,4,0,0,4,2,1
18,7,2,2,5,6,2,9,1
19,4,6,6,6,4,10,9,1
20,6,5,2,3,9,1,6,2
21,7,10,7,2,10,1,5,2
22,7,7,6,9,9,1,10,1
23,5,7,1,5,6,3,5,2
24,7,1,6,8,1,9,0,1
25,10,6,9,3,3,7,10,2
26,9,2,8,6,9,7,9,1
27,3,4,7,5,3,9,3,1
28,6,8,1,4,0,5,9,1
29,7,6,6,2,9,9,8,1
30,8,1,7,4,4,4,1,2
31,0,0,10,4,5,4,9,2
32,4,0,4,0,9,5,0,1
33,5,1,8,8,9,8,5,2
34,3,1,10,3,8,9,5,1
35,5,9,9,4,5,5,10,2
36,4,2,4,1,7,8,1,2
37,5,1,8,2,10,6,9,2
38,8,3,1,10,8,1,0,2
39,5,3,0,8,3,4,5,2
40,7,0,7,5,2,0,3,2
41,9,3,1,6,10,2,2,2
42,9,3,2,6,7,8,5,1
43,6,1,1,2,0,0,9,2
44,4,7,10,6,5,9,10,2
45,3,3,1,9,3,9,5,2
46,7,1,5,4,2,1,10,2
47,9,3,6,9,9,7,0,1
48,3,7,4,10,0,6,6,1
49,1,0,8,3,5,5,5,2
50,1,0,7,0,3,2,7,1
51,1,6,10,4,8,3,8,1
52,3,3,5,2,6,6,4,2
53,3,2,9,4,5,8,10,2
54,1,7,2,2,7,8,9,2
55,5,10,3,5,10,10,0,2
56,4,5,1,7,9,9,2,1
57,6,8,6,5,2,6,5,2
58,3,3,0,4,7,7,0,2
59,5,1,0,1,9,7,2,2
60,3,3,8,8,7,7,1,1
61,8,10,0,7,9,1,3,2
62,0,2,6,0,6,0,0,2
63,3,10,9,7,6,1,7,2
64,2,2,2,8,9,2,2,2
65,2,3,8,9,6,4,5,2
66,8,8,4,9,3,7,0,2
67,4,9,2,7,10,8,0,2
68,8,5,10,10,7,6,8,1
69,4,7,9,5,9,4,2,2
70,5,10,2,5,1,0,0,1
71,9,0,5,1,3,5,2,1
72,0,9,3,9,3,4,8,1
73,5,6,5,0,7,6,5,1
74,1,7,1,3,6,5,7,1
75,0,7,4,9,1,0,2,2
76,4,4,6,9,4,0,1,2
77,7,8,7,5,6,6,0,1
78,9,10,1,3,0,4,1,2
79,0,6,6,0,8,6,5,1
80,7,1,8,4,7,1,6,2
81,9,10,5,10,9,5,3,2
82,6,4,2,0,8,4,2,1
83,9,6,9,3,6,10,0,2
84,10,10,4,1,8,5,8,1
85,2,4,9,0,8,2,6,2
86,2,10,2,6,9,8,8,2
87,2,9,8,3,4,10,6,2
88,4,2,10,9,6,6,1,1
89,8,1,8,4,1,4,2,2
90,5,1,3,5,10,4,10,1
91,5,3,0,8,3,10,1,1
92,3,2,0,0,6,7,2,1
93,5,7,5,4,0,8,3,1
94,7,3,3,3,8,0,4,2
95,3,10,0,7,4,5,1,2
96,6,4,10,7,5,2,5,2
97,10,9,1,5,7,4,4,1
98,3,3,3,0,1,1,10,1
99,6,3,6,5,9,5,1,1
100,10,3,3,0,0,5,0,2
101,7,8,1,2,9,2,10,1
102,3,9,2,5,2,3,8,2
103,6,10,7,5,6,10,6,1
104,9,7,4,8,0,6,7,2
105,1,7,9,5,2,5,2,2
106,5,9,0,2,1,3,5,2
107,6,5,0,0,0,1,2,1
108,9,10,7,2,8,8,7,1
109,10,6,2,10,1,5,1,1
110,8,2,8,9,1,7,2,2
111,5,10,10,9,7,10,3,1
112,9,5,3,8,9,4,7,1
113,5,1,6,6,8,10,3,1
114,4,4,3,7,0,5,1,2
115,3,3,10,1,5,3,4,1
116,1,3,1,5,1,3,10,1
117,4,10,9,3,2,6,3,2
118,4,3,1,8,1,0,3,1
119,0,1,3,9,3,8,1,2
120,9,1,9,6,0,9,3,2
121,8,4,7,4,0,2,7,1
122,5,9,8,2,0,5,0,1
123,6,3,8,10,3,2,8,2
124,2,7,8,10,9,2,7,2
125,9,9,7,7,0,4,3,1
126,0,2,3,9,1,7,4,2
127,9,10,0,4,1,1,3,2
128,10,8,4,9,10,6,1,1
129,6,6,10,1,1,9,2,2
130,6,10,8,7,3,8,6,1
131,2,5,4,8,2,9,3,1
132,5,8,1,6,2,2,1,2
133,10,1,0,0,3,2,4,1
134,0,0,7,2,0,5,9,2
135,9,10,3,10,0,9,0,2
136,4,5,10,6,6,3,6,1
137,9,0,5,4,1,9,0,1
138,4,10,9,5,9,9,0,2
139,6,4,7,9,9,3,2,1
140,6,3,2,4,8,10,1,2
141,7,3,8,3,7,9,3,1
142,10,8,8,2,7,5,4,1
143,1,3,9,0,10,6,8,1
144,3,4,1,6,1,8,0,2
145,3,1,2,6,0,3,8,1
146,9,1,10,1,4,6,0,2
147,5,0,6,1,4,4,0,1
148,1,7,6,0,1,4,4,2
149,1,8,9,0,1,3,6,2
150,3,2,9,7,10,10,0,2
151,9,4,7,6,9,8,0,2
152,1,3,2,6,7,8,10,1
153,8,7,7,0,7,8,5,1
154,1,1,7,9,2,0,5,1
155,0,5,1,1,1,3,10,2
156,1,6,10,9,6,7,0,2
157,3,9,9,4,3,9,5,2
158,1,10,9,2,7,5,6,1
159,3,0,4,6,1,10,6,1
160,6,5,3,3,0,3,4,2
161,3,1,4,3,10,10,7,2
162,5,8,6,1,10,1,3,1
163,8,6,8,1,0,1,6,2
164,3,3,4,5,5,0,10,2
165,7,9,9,8,3,7,7,1
166,5,6,7,4,7,10,10,2
167,8,5,3,7,9,2,8,2
168,7,10,4,8,8,5,4,2
169,2,10,7,5,6,2,7,2
170,9,10,4,4,6,8,2,2
171,0,5,10,1,8,5,3,1
172,8,8,1,8,5,2,2,1
173,9,1,4,4,2,5,5,1
174,2,4,3,10,1,2,4,1
175,2,4,6,7,6,8,2,2
176,5,5,3,4,7,3,1,1
177,5,8,6,2,3,6,5,1
178,0,0,9,1,10,9,10,2
179,6,0,5,9,7,5,5,1
180,8,9,8,7,4,0,7,1
181,5,1,0,10,3,5,5,2
182,9,0,8,10,9,4,5,1
183,8,1,0,9,7,3,3,2
184,7,5,1,6,9,5,5,2
185,0,4,10,7,4,2,8,1
186,9,1,10,10,6,2,0,2
187,10,5,3,1,8,9,6,2
188,10,5,8,0,1,4,1,1
189,7,5,4,9,8,5,5,1
190,6,0,3,7,5,5,10,1
191,8,0,7,9,5,6,10,2
192,8,6,2,10,3,9,6,2
193,7,6,7,1,3,4,3,2
194,3,2,2,1,9,5,5,1
195,0,3,3,9,3,2,5,2
196,10,10,8,1,7,10,2,2
197,4,10,6,1,1,5,8,1
198,7,4,8,0,3,4,7,1
199,0,6,5,0,1,10,2,1
200,4,0,9,2,5,4,5,1
201,9,5,9,2,4,8,4,2
202,7,2,10,2,4,0,4,1
203,10,5,3,9,3,9,8,2
204,5,1,5,8,2,4,4,2
205,8,9,5,8,8,7,1,2
206,9,6,6,2,9,4,8,1
207,1,2,5,7,0,6,9,1
208,5,8,10,6,0,4,7,1
209,8,3,1,1,8,9,9,2
210,6,10,7,10,2,10,1,2
211,6,6,9,4,0,10,6,2
212,4,3,9,4,5,10,1,1
213,9,4,4,0,8,0,3,2
214,1,6,2,5,8,6,1,2
215,10,6,5,9,7,1,1,1
216,3,8,2,7,0,5,5,1
217,4,2,0,10,10,10,0,1
218,5,4,6,5,7,8,6,2
219,10,3,0,0,7,9,3,1
220,10,4,8,1,6,8,10,1
221,4,10,7,7,2,8,5,1
222,5,1,7,5,4,2,8,2
223,9,0,6,2,4,5,3,1
224,8,1,3,4,4,5,2,1
225,10,9,9,5,1,2,4,1
226,8,0,9,4,2,10,7,1
227,0,10,4,4,0,2,9,1
228,4,10,3,9,0,1,2,2
229,8,6,6,6,10,0,10,2
230,10,2,3,9,4,2,9,1
231,5,7,7,6,7,2,6,2
232,10,2,0,7,0,2,6,1
233,4,7,5,3,8,3,5,2
234,9,3,1,6,8,3,5,1
235,2,1,1,6,5,0,9,1
236,4,7,9,1,4,7,0,1
237,6,9,10,2,9,3,8,1
238,6,7,7,0,1,4,10,2
239,9,8,8,1,1,5,7,1
240,1,6,9,5,6,1,1,1
241,7,0,2,6,4,5,9,1
242,7,1,10,1,5,5,6,2
243,5,5,6,7,5,9,8,2
244,1,3,8,4,0,8,4,2
245,7,4,2,6,5,3,8,1
246,5,1,10,3,9,9,0,2
247,10,9,9,7,0,7,10,2
248,10,3,6,5,7,2,8,2
249,3,8,1,2,5,1,3,1
250,10,5,0,6,5,8,2,2
251,9,3,6,5,8,7,1,1
252,2,2,4,5,2,4,8,1
253,3,10,7,8,5,3,5,2
